IFAD Option,# of Spots Available ,Students interested in the following career field(s) would most benefit: ,Company/Organization/ Agency Name,Job Title,Website,"Description of Company/Organization/Agency (provided by the host)
",What can you expect from meeting with this host? (provided by the host),Company/Org Physical Address,"Work City, State, Zip Ex: College Park, MD, 20742",DC metro accessible (train or bus) from College Park?,Federal government agency or federal contractor,Require that the student is a US Citizen?,Required to complete and pay for a background check?,What days of the week would work best with your availability?,"Available during Spring Break from March 16-23, 2025.",UMD's Alumni?,Is there any more information you would like to share?
60-minute virtual informational interviews,3,"Consulting, Government and International Relations, Health and Healthcare, NonProfit and Social Services, Policy and Advocacy",KPMG,"Manager, Federal Healthcare Advisory",https://www.kpmg.us/,"KPMG is a large firm providing tax, audit, and management support to business and the federal government. Improving business performance, turning risk and compliance into opportunities, developing strategies and enhancing value are at the core of what we do for leading organizations. KPMG's professionals from across a wide range of functional service areas deliver services and solutions that modernize service delivery models, harness data and analytics, improve program outcomes, prevent fraud, and implement public-private partnerships.

KPMG's Federal Advisory professionals leverage their experience in integrated eligibility, Medicaid, child support enforcement, child welfare, technology innovation, WIC, and unemployment insurance to provide unique perspectives that address the challenges governments face now and in the future.","Within KPMG I work in for Health and Government Solutions where I support the Centers for Medicare and Medicaid (CMS) in implementing Federal laws and regulations. CMS, is a federal agency within the United States Department of Health and Human Services (HHS) that administers the Medicare program and works in partnership with state governments to administer Medicaid, the Children's Health Insurance Program (CHIP), and health insurance portability standards. 
Previously I spent ten years working at health policy nonprofits and I am passionate about mental health in policy and in practice. 
Students can ask me any questions. ",8350 Broad St Ste 900,"Mclean, VA 22102",,No,,,Any weekday (Mon-Fri),Yes,,
60-minute virtual informational interviews,3,"Consulting, Government and International Relations, Nonprofit and Social Services, Policy and Advocacy, Non-scientific Research",IMS Inc.,President,N/A,"IMS is an international research firm headquartered in Washington, DC, which specializes in producing in-depth analysis and strategic intelligence for clients across an array of industries. IMS provides research, analysis, communications support, and strategic advice to Democratic and progressive campaigns and committees at all levels of government in the U.S. and around the world. IMS advises corporations on a range of business opportunities, challenges, and risks. IMS is frequently called on to provide law firms, polling firms, and lobbying practices with a range of services to help meet their objectives. Our team of analysts have decades of experience in political, policy and corporate research to help clients develop successful strategies.","Whether your interests lean toward politics or policy, developing your existing critical thinking and research skills is an asset for a variety of future jobs. We work across various sectors at any given time, which allows IMS interns to get exposure to a variety of fields, with heavy emphasis on research, writing and analysis.","1629 K St NW, Ste 300",Washington DC 20006,,No,,,Any weekday (Mon-Fri),Yes,,
60-minute virtual informational interviews,3,"Cybersecurity, Engineering, Computer Science, Data Science, and Consulting",PLEX Solutions LLC,Chief Strategy Officer,www.PLEX-LLC.com,"PLEX strives to be an industry leader in advanced, tailored cybersecurity solutions, software development and technology engineering throughout the US Government. We want to make a significant, positive impact on National Security.","Charged with developing and overseeing the strategy, marketing, and growth of the company.",9881 Broken Land Parkway,"Columbia, MD 21046",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,3,"Engineering,Science and Research speech therapy",AACPS Child Find,Speech Therapist,aacps.org,Large public school system,Information about being a speech therapist in a school based setting. Understanding the benefits of working with children with special needs.,1450 Furnace Branch Rd,Glen Burnie,,,,,Any weekday (Mon-Fri),No,Yes,
60-minute virtual informational interviews,3,"Health and Healthcare,Law and Law Enforcement,Science and Research",Pfizer Inc,Corporate Counsel,Www.Pfizer.com,"I work for Pfizer, a large global pharmaceutical company headquartered in New York, NY. Pfizer manufactures life saving medicines and vaccines for billions of patients around the world.","As an attorney in the Biopharma practice area, a student would get a window into the practice of advertising and promotion law and FDA regulations as they apply to pharmaceutical products.",66 Hudson Blvd East,"New York, NY 10001",,Yes,,,Any weekday (Mon-Fri),No,No,
60-minute virtual informational interviews,3,Law and Law Enforcement,Law Office of Eshigo P. Okasili LLC,Attorney,https://www.okasililawfirm.com,"Law Office of Eshigo P. Okasili, LLC was a general practice law firm for many years. However, in recent years, the firm has been focusing on alternative dispute resolution (ADR), family law and immigration law.","Our firm's work entails the following: 1) Conducting potential client intake (interviews) to screen them for potential conflict, and assess their compatibility with our firm; and (2) Establishing and maintaining attorney-client relationship by providing effective legal representation by doing the following: (a) Conducting legal research; (b) Preparing and/or filing necessary legal documents; (c) Participating in negotiation, mediation, facilitation; and (d) Appearing in court, agencies and other applicable fora on behalf of each of our clients until the conclusion or resolution of their respective matters.",2000 Alabaster Drive,"Silver Spring, MD 20904",,,,,,Yes,No,No
60-minute virtual informational interviews,3,"Social services, social work, medical and behavioral interventions for psychiatric illnesses, counseling, case management, and nonprofit.",Kennedy Krieger,Clinical Social Worker II,www.kennedykrieger.org,"The Kennedy Krieger Institute is an internationally known hospital for children with neurological and physical disabilities. It has multiple different services including one of the few pediatric traumatic brain injury units, the neurobehavioral unit which treats children with severe behavior disorders, feeding disorders and rehabilitation from surgery or physical injury. It also offers multiple outpatient services. I have been a clinical social worker here for almost 30 years. I currently work as a social worker for the neurobehavioral unit.  At the Institute there is a focus on using an interdisciplinary approach to treating the problem. It is well-known that the role of social work it's very important to this process. Social worker's primarily provide counseling and support for parents of our patients as well as finding community services to support the patient after discharge.","Since I've been in the field for so long I have often found discussing social work careers in general to be very helpful for students interested in that career. I have worked in the foster care system, medical systems, private practice, and specialized in working with families of children with disabilities. I have had to learn how to work with multiple personalities as well as with multiple community services. I am a very strong advocate for the family as I work with and their children. The families that I've worked with have often experienced incredible difficulties and continue to do the best for their family. I also have a special interest in services for siblings of people with disabilities. Social work is a very challenging career choice: you will always have more to do and you will never be bored!",716 N. Broadway,"Baltimore, Maryland 21205",,,,,,,Not Found,medical and behavioral interventions for psychiatric illnesses
60-minute virtual informational interviews,4,"Agriculture/Environment,Government and International Relations,Law and Law Enforcement,Military,Policy and Advocacy",U.S. Department of Agriculture,Investigation & Compliance Specialist,https://www.aphis.usda.gov/aphis,"For nearly 50 years, APHIS has been protecting the health and value of America’s agricultural and natural resources. It’s a vital mission: Healthy and profitable American agriculture provides food and clothing for countless people worldwide and is a key pillar of our economy.

Millions of people benefit from APHIS’ programs and services every day. As our name suggests, APHIS’ work centers around animal and plant health, but our programs also address animal welfare, biotechnology, wildlife damage management, and global trade. Although APHIS may not be a household name, our efforts are seen and felt both far and wide. From ensuring an abundant and affordable food supply, safeguarding air travel against wildlife-related accidents, and sheltering household pets from harm during a disaster, to protecting the trees in our forests and communities, APHIS’ work touches people’s lives in a multitude of ways.

APHIS’ strong commitment to serving the American people guides all that we do. With an eye toward excellence and value, we’re constantly finding new ways to accomplish our work so that APHIS’ way of doing business reflects the way agriculture and commerce operate today. We are using more technology to allow industry to move at the speed of commerce and keep up with demand for agricultural commodities. We are developing better, faster processes and streamlining operations to improve our customers’ experience and deliver services more effectively. And, we are increasingly looking to innovative, nonregulatory solutions to achieve our aims—making sure agriculture stays healthy while ensuring the swift flow of trade. These actions—and many others—are saving both time and money as APHIS strives to better serve its stakeholders and the American public.

Within APHIS, Emergency and Regulatory Compliance Services (ERCS) focuses all issues related to emergency preparedness and response, regulatory investigative and enforcement activities, safety initiatives, and the regulation of agricultural select agents in one APHIS program. ERCS’ services-delivery structure bridges science with the need for long-range planning, policy oversight and cooperative stakeholder engagement.

Within ERCS, Investigative and Enforcement Services (IES) is responsible for planning and implementing an integrated investigative and enforcement program which serves as an integral part of the Agency’s overall regulatory program for protecting American agriculture. IES directs and coordinates investigations related to the laws and regulations pertaining to APHIS’s programs, through fact finding, civil and criminal investigations, and investigations with other federal, state, and local regulatory or law enforcement agencies (including USDA’s Office of the Inspector General).
IES also administers other types of enforcement actions (e.g., official warnings, stipulations, and
formal administrative proceedings), collaborating with USDA’s Office of the General Counsel
(OGC) as needed. IES’ primary customers are APHIS’s programs, including Animal Care (AC),
Biotechnology Regulatory Services (BRS), Plant Protection and Quarantine (PPQ), and
Veterinary Services (VS), and the Department of Homeland Security’s Customs and Border
Protection (CBP).","As an Investigation and Compliance Specialist in the Plant Health and Border Protection Enforcement Branch, I am responsible for the review and analysis of IES’ investigated cases related to animal and plant health programs to determine legal sufficiency; determination of appropriate
enforcement actions and preparation of cases for potential criminal or administrative hearings;
work with OGC; and issuance of official warnings, stipulations, and regulatory enforcement
correspondence. I work collaboratively with an “Enforcement team” that includes a Compliance Case Examiner, Case Examiners, Enforcement Specialists, other Compliance Investigation Specialists, and a Supervisory Investigation and Compliance Specialist and coordinates the review and evaluation of IES’ policies, procedures, and Reports of Investigation (ROIs) to ensure compliance with prevailing requirements; promote national uniformity, and enhance the quality and integrity of IES’ products and services; serve as a technical authority for animal and plant health laws in my respective practice area; and coordinate nonprocurement suspension and debarment actions that may be initiated as a result of criminal convictions or prior administrative decisions.
APHIS is also an emergency response agency. This means that I may be asked or assigned to participate in rotating temporary duty assignments away from my assigned duty station to support emergency programs that respond to national emergencies, such as wildfires and animal disease outbreaks. ","Riverdale, MD",20737,,,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,4,"Business, Communication, Marketing, Commercial Real Estate, and Finance",Greenberg Gibbons,Asset Manager,https://www.ggcommercial.com/,"Greenberg Gibbons is a commercial Real Estate developer that specializes in retail and mixed use properties, primarily in the Baltimore area but is current growing our portfolio throughout the east coast.  In additional to development we also manage mixed use (mostly retail) projects for assets we own along with 3rd party assets.","I'm the asset manager for several mixed-use properties in Baltimore, Anne Arundel and Howard Counties.  My role as an Asset Manager is to report the performance of assets and work to strategize to increase their financial performance.   This role requires financial modeling, looking at market research, compiling data/reports, reviewing lease language, and communication/negotiating with tenants.  Think of a local shopping center that you go grocery shopping at, ever notice what tenants are around, what tenants have come into the market and others that leave?  

I’d love to talk with students who have interest in marketing, analytics, financial analysis, development and commercial real estate.  
",3904 Boston Street Suite 402,Baltimore MD 21224,,No,,,Any weekday (Mon-Fri),Yes,,
60-minute virtual informational interviews,4,"Communications, Journalism, Media,Government and International Relations,NonProfit and Social Services,Policy and Advocacy",IMS Inc.,Associate Director,N/A,"IMS is an international research firm headquartered in Washington, DC, which specializes in producing in-depth analysis and strategic intelligence for clients across an array of industries. IMS provides research, analysis, communications support, and strategic advice to Democratic and progressive campaigns and committees at all levels of government in the U.S. and around the world. IMS advises corporations on a range of business opportunities, challenges, and risks. IMS is frequently called on to provide law firms, polling firms, and lobbying practices with a range of services to help meet their objectives. Our team of analysts have decades of experience in political, policy and corporate research to help clients develop successful strategies."," Whether your interests lean toward politics or policy, developing your existing critical thinking and research skills is an asset for a variety of future jobs. We work across various sectors at any given time, which allows IMS interns to get exposure to a variety of fields, with heavy emphasis on research, writing and analysis.","1629 K Street NW, #300","Washington, DC 20006",,No,,,Any weekday (Mon-Fri),Yes,No,n/a
60-minute virtual informational interviews,5,"Agriculture/Environment,Architecture/Real Estate,Arts and Entertainment,Consulting,Government and International Relations,NonProfit and Social Services,Policy and Advocacy",Communities in Practice,"Owner, Policy Analyst Urban Planner",Communitiesinpractice.com,"It is a community development practice, that assists communities to build sustained participation and collective growth. Communities in practice is a collective of practitioners, who use their expertise and tools, to address historical inequities and dismantle the disenfranchisement of underserved communities.","We spearhead equitable development processes, centered on adversely impacted community members, peer-to-peer learning and active advocacy around shared solutions. We value lived experience and subject matter expertise. We engage in decolonization, pluralism, anti-racism, and abolishing forced assimilation. The communities we serve, thrive in diversity and culture, they are willing to help one another, they share information and power.",8309 58th Ave,College Park MD 20740,,,,,,Yes,Yes,I am fluently bilingual (Spanish & English). I also participated in study abroad while in undergrad and grad; and that experience directs my work today.
60-minute virtual informational interviews,5,"Agriculture/Environment,Government and International Relations,Policy and Advocacy,Science and Research",US Food & Drug Administration (US FDA),Consumer Safety Officer,https://www.fda.gov/about-fda/fda-organization/human-foods-program,"The Human Foods Program (HFP) oversees all FDA activities related to food safety and nutrition. Our vision is to ensure that food is a source of wellness for all U.S. consumers, and our day-to-day activities are focused at protecting and promoting the health and wellness of all people through science-based approaches to prevent foodborne illness, reduce diet related chronic disease, and ensure chemicals in food are safe.","I am a Consumer Safety Officer (CSO) for HFP's Infant Formula Premarket Review Staff, in which I review applications from manufacturers to produce new/updated baby formulas. In the past I have also worked as a meat inspector and investigator for the USDA, and as a food labeling specialist for Tyson Foods. Students may benefit from interviewing me if they are interested in careers in civil service, food industry, and/or food regulations.",5001 Campus Dr,"College Park, MD 20740",,,,,,Yes,Yes,N/A
60-minute virtual informational interviews,5,"Arts and Entertainment,Business,Communications, Journalism, Media,Sales and Marketing,Sports and Recreation",Under Armour,"Apparel Designer, Team Sports",https://www.underarmour.com/en-us/,"Under Armour is a global athletic performance brand known for creating innovative sportswear. Its mission is to make all athletes better. The brand emphasizes innovation and athlete feedback while developing high-quality products that enhance comfort, speed, and durability. Through powerful marketing and storytelling, Under Armour connects with athletes of all levels, inspiring them to perform at their highest potential.","Students will gain a better understanding of the apparel design process from start to finish at Under Armour. More specifically, they will learn about what goes into building Team Sports Uniforms and the cross functional collaboration that is needed to develop these garments for the athletes we outfit.",101 Performance Dr.,"Baltimore, MD 21230",,,,,,,No,n/a
60-minute virtual informational interviews,5,"Communications, Journalism, Media,Consulting,Government and International Relations,Law and Law Enforcement,Policy and Advocacy",Federal Communications Commission,Legal Advisor,www.fcc.gov,"The Federal Communications Commission regulates interstate and international communications by radio, television, wire, satellite and cable in all 50 states, the District of Columbia and U.S. territories. An independent U.S. government agency overseen by Congress, the commission is the United States' primary authority for communications law, regulation and technological innovation. In its work facing economic opportunities and challenges associated with rapidly evolving advances in global communications, the agency capitalizes on its competencies in: * Promoting competition, innovation and investment in broadband services and facilities; * Supporting the nation's economy by ensuring an appropriate competitive framework for the unfolding of the communications revolution; * Encouraging the highest and best use of spectrum domestically and internationally; * Revising media regulations so that new technologies flourish alongside diversity and localism; and * Providing leadership in strengthening the defense of the nation's communications infrastructure. The agency is directed by five commissioners who are appointed by the President of the United States and confirmed by the U.S. Senate. The president also selects one of the commissioners to serve as chairman. Only three commissioners can be of the same political party at any given time and none can have a financial interest in any commission-related business. All commissioners, including the chairman, have five-year terms, except when filling an unexpired term. The commission is organized into bureaus and offices, based on function (see also Organizational Charts of the FCC). Bureau and office staff members regularly share expertise to cooperatively fulfill responsibilities such as: * Developing and implementing regulatory programs * Processing applications for licenses and other filings * Encouraging the development of innovative services * Conducting investigations and analyzing complaints * Public safety and homeland security * Consumer information and education","I am a ""second career"" attorney with over 30 years of experience working in Washington, DC on public policy issues. I started my career interning on Capitol Hill after graduating college and I have worked for many types of organizations that influence decision-makers in Washington. Since 2012, I have served at the Federal Communications Commission in four different Bureaus. Also, I have two kids attending UMD-CP and I am happy to share my experience.","45 L Street, NE","Washington, DC 20554",,,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,5,"Computing/Computer Science and Technology ,Consulting",Procentrix,Lead Power Platform Developer,http://www.procentrix.com,"Procentrix is located in Northern Virginia and has about 400 people from more than 30 states. This company offers professional services and innovative solutions that streamline business and government. It is a Microsoft partner that develops custom software, low-code solutions, AI solutions, and cloud enablement.","I spent my work time designing and developing cloud solutions for one of the government agencies using Microsoft technologies such as Azure, Power Platform, SharePoint, and .NET. Students chatting with me can learn about how what they learn at school about computer science applies to working on real-world applications and what they can do now in order to become professional software developers if they so choose.",2551 Dulles View Dr. Suite 600,"Herndon, VA 20171",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,5,"Consulting,Government and International Relations,Law and Law Enforcement,NonProfit and Social Services,Policy and Advocacy",Joyful Heart Foundation,Policy and Advocacy Manager,https://joyfulheartfoundation.org/,"Our mission is to transform society's response to sexual assault, domestic violence, and child abuse, support survivors healing, and end this violence forever. While we understand that our vision may not be achievable in our lifetimes, we firmly believe that violence and abuse are preventable. In support of our vision and mission, we launched our End The Backlog campaign, which aims to end the untested rape kit backlog in the US through legislative reform.","In my day-to-day work, I track and analyze state level policy, create and maintain data tracking measures, and do advocacy work in 50 states and DC. Outside of my full-time job on sexual assault, I volunteer for reproductive rights, community building, and environmental issues for organizations in the US and abroad. I also have experience in international nonprofits in Turkey and India. I was an international student at UMD, and am happy to share my experiences with job search and career advancement on a visa.",320 7th Avenue #161,"Brooklyn, NY 11215",,,,,,Yes,Yes,
60-minute virtual informational interviews,5,"Cybersecurity,Government and International Relations,Law and Law Enforcement,Military",U.S. Department of State Diplomatic Security Service,Special Agent,https://www.state.gov/bureaus-offices/under-secretary-for-maN/Agement/bureau-of-diplomatic-security/,"The Diplomatic Security Service (DSS) is the federal law enforcement and security arm of the Department of State. Tasked with securing diplomacy and protecting the integrity of U.S. travel documents, DSS has the largest global reach of any U.S. federal law enforcement agency, with offices in 29 U.S. cities and in more than 270 locations around the world. DSS Special Agents are both federal law enforcement officers and diplomats representing the U.S. government.","DSS Special Agents assigned abroad oversee security programs to protect the personnel, facilities, and information of U.S. diplomatic facilities. The work involves program management, working with and supervising large teams of locally-employed staff from diverse backgrounds, risk management, and advising the Ambassador on security policy. Students interested in international relations, security, law enforcement, project management, cross-cultural communications, crisis response, or any/all of the above may be interested in this career.",2201 C St NW,"Washington, DC 20451",,,,,,Yes,Yes,
60-minute virtual informational interviews,5,Education,Princeton High School Learning Commons,Educational Media Specialist (aka: High School Librarian),https://www.princetonk12.org/princeton-high-school/students/learning-commons,"The PHS Learning Commons is the hub of PHS. We see about 2/3 of our school's 1,600 students every day, all by voluntary individual drop-in or with their teachers for research. We offer students supplies, space, and physical and electronic resources to meet all of their academic needs. We also offer for-pleasure reading selections, both in-hand and electronic. PHS is located in a university town. We are a diverse community in every way you can mean that term: racial, ethnic, socio-economic, gender and sexual orientation, etc., and we embrace that diversity. To see our school profile and district information: https://resources.finalsite.net/images/v1661951060/princetonk12org/lwrkmipikmuhniatsomz/PHS22-23Profile.pdf and https://www.princetonk12.org/district/about-us","I taught social studies for 19 years before becoming the librarian in 2013. I am also the union liaison and serve on a variety of district and school committees. I am happy to speak to any and all of those positions. Previously, I've discussed how I communicate with all of the different constituencies I serve and have discussed the changing role of educators. I have also discussed the myriad aspects of my current job including teaching research and information literacy, reader's advisory, collections, administration, etc. I am truly happy to meet the intern's needs and shape our hour together to best serve them.",151 Moore St,Princeton,,,,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,5,"Engineering,Government and International Relations,Science and Research",MarginEdge,VP of Operations,www.marginedge.com,"MarginEdge builds software used by over 6,000 restaurants to automate much of their back office processing like paying vendor invoices, generating profit and loss reports, and understanding their food and labor costs.","I run a large operations team consisting of 700+ contractors overseas in four countries and a team of 40 based in the United States. We are responsible for processing over 130,000 invoices per week that are submitted by our restaurant customers.","4200 Wilson Blvd, Ste 1100","Arlington, VA 22203",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,5,"Government and International Relations,Policy and Advocacy",US House of Representatives Office of Sarah Elfreth,Scheduler,https://elfreth.house.gov/,I work in the US House of Representatives for a Maryland Representative.,"In my job, I work with different teams within my office and different committees to efficiently plan and adjust the Congresswoman's daily and long-term schedule. This role requires working with many different stakeholders and finding a solution when there are limited hours available. I work with the Congresswoman directly to best adjust her schedule to her priorities. Outside of maintaining the Congresswoman's schedule, I manage the operations side of my office, working with my colleagues to schedule internal meetings and to meet the daily needs of the office itself.",Independence Ave,"Washington, DC 20510",,,,,,Yes,Yes,
60-minute virtual informational interviews,5,Human Resources,University of Maryland-Department of Residential Facilities,Staffing Manager,https://drf.umd.edu/,"The Department of Residential Facilities is responsible for the maintenance and housekeeping services for the College Park Campus' 70+ residence halls, Greek chapter houses, and recreational facilities encompassing over 2.7 million square feet. The department employs over 300 exempt, non-exempt, and student staff.","My name is Rashida Bailey, and I currently work for the University of Maryland, within the Division of Student Affairs for the Department of Residential Facilities. I am this department's Staffing Manager and work for the Human Resource workgroup, which we call ""Employee Services."" I have over 11 years of experience in the Talent Acquisition industry, specializing in resume writing and mock interviewing. With my skill set, I can most certainly assist undergraduate students with landing their next career opportunity",7757 Baltimore Ave,"College Park, MD 20742",,,,,,Yes,No,
60-minute virtual informational interviews,5,Science and Research,MRIGlobal,Assistant Director,https://www.nesdis.noaa.gov/,"MRIGlobal is a non-for-profit contract research organization focusing on biology, chemistry, and engineering. Our company started 80 years ago and in my particular business unit, we focusing on bio surveillance and infectious disease research. Our mission statement: MRIGlobals focus is translating new technologies that support better health outcomes for humans, animals, and our environment. We apply our diverse and cutting-edge technical capabilities and expertise to provide smart, collaborative solutions that solve our customers precise needs. We deliver global technology-based research in national security and defense, energy and environment, life and animal sciences, and agriculture and food safety.","I am a scientist with a 20+ career in applied scientific research and development. In addition to leading research programs, I also lead a team of scientists who range from entry level to seasoned scientists. As an Assistant Director, I manage a section that covers biosurveillance and infectious disease research. My primary scientific focuses are assay development, microbiology, and high containment research.",65 W Watkins Mill Rd,"Gaithersburg, MD 20878",,,,,"Tues,Wed,Thurs,Fri",Yes,No,
60-minute virtual informational interviews,6,"Government and International Relations,Law and Law Enforcement,NonProfit and Social Services,Policy and Advocacy",Department of Legislative Services/Maryland General Assembly,Ethics Counsel,https://mgaleg.maryland.gov/mgawebsite and http://dls.maryland.gov/,"The Department of Legislative Services provides non-partisan professional staffing services to Maryland's legislature, the Maryland General Assembly. Our department writes legislation, advises elected officials on the policy impacts of legislation, reviews and makes recommendations on the State budget, and determines the fiscal impact of proposed legislation. We research and make recommendations on various public policy issues.","In my current role, I advise elected officials to help them comply with ethical requirements. I've also staffed legislative committees, written legislation, and researched various policy issues. It is very rewarding to see the impact of my work on the daily lives of the citizens of Maryland. In addition, it is fun to see the legislative process behind the scenes. I have a law degree, a master's in public policy, and a bachelor's in government and politics. I am able to discuss how I've used each of my degrees and career paths in Maryland's legislature.",90 State Circle,"Annapolis, MD 21401",,,,,Any weekday (Mon-Fri),Yes,Yes,
60-minute virtual informational interviews,7,"Cybersecurity,Government and International Relations",National Oceanic and Atmospheric Administration (NOAA),Cyber Security Analyst,https://www.noaa.gov/,"NOAA is an agency that enriches life through science. Our reach goes from the surface of the sun to the depths of the ocean floor as we work to keep the public informed of the changing environment around them. In the cybersecurity division, we work to set standards in place to ensure NOAA is safe and system organization isn’t compromised. 
",Students will get to shadow me as a Cybersecurity Analyst and ask any questions they may have.,1325 East-West Hwy,"Silver Spring, MD 20910",,,No,,Any weekday (Mon-Fri),Yes,No,
60-minute virtual informational interviews,8,"Communication, Public Relations, Professional Writing, Consulting",Beam Reach Consulting Group,Senior Communications Specialist,beamreachgroup.com,"Beam Reach Consulting Group provides consulting services to clients in federal, state, and local government and in both the nonprofit and private sectors to help them develop and implement actionable solutions to address the challenges and opportunities that face national, regional, and local infrastructure. Beam Reach Group is a Woman-Owned Small Business (WOSB) and a certified Minority Business Enterprise (MBE), Disadvantaged Business Enterprise (DBE), and Small Business Enterprise (SBE) registered with the State of Maryland's MBE/DBE/SBE program office.","I develop and provide strategic input on communications materials -- including business cases, policy briefs, proposals, and public relations content -- both for clients and for our company internally. I work with clients in critical infrastructure industries, particularly the energy sector. I can speak with students about applying communications and writing skills in the real world, working in consulting, working for small businesses, and working in technical industries without a technical background. I also have a master's degree and can speak with students about the advantages and disadvantages of earning a higher degree. Finally, I can speak with students about the process of looking for and applying for jobs, creating a strong resume, and writing an effective cover letter.",821 West Benfield Rd. Suite 3,"Severna Park, MD 21146",,,,,,Yes,Yes,
60-minute virtual informational interviews,10,"Agriculture/Environment,Architecture/Real Estate,Consulting,Engineering,Science and Research",Partner Engineering and Science Inc.,Environmental Scientist,www.partneresi.com,"Partner Engineering and Science, Inc. (Partner) is a multi-disciplinary science and engineering consulting firm that provides commercial real estate property assessment and solution services to clients throughout the private and public sectors. Some consulting disciplines within the organization include environmental, property condition, geotechnical, natural resource, industrial hygiene, energy, and construction, among others. Partner has multiple office locations across the country, as well as offices in Canada, the U.K., and Poland.","I am an Environmental Scientist looking forward to sharing insight into the environmental consulting industry, its drivers and future outlook, and my non-conventional journey getting here. Interested students can look forward to learning about different aspects of the job, including investigatory fieldwork/environmental sampling, data analysis, regulatory research, technical report writing, and typical office practices. Additionally, students can gain insight into the role of AutoCAD, ArcGIS, ESRI Field Maps, LogPlot, and other technologies in the environmental consulting field.",2154 Torrance Blvd,"Torrance, CA 90501",,,,,,Yes,Yes,N/A
60-minute virtual informational interviews,10,"Agriculture/Environment,Engineering,Science and Research",NOAA Office of Low Earth Orbit Observations,Associate Director for Strategic Partnerships,https://www.nesdis.noaa.gov/,"The NOAA Office of Low Earth Orbit (LEO) Observations builds and launches satellites to provide environmental observations and measurements that are used for weather forecasts, severe weather warnings, fire and smoke models, snow and ice melting, flood monitoring, ozone monitoring, land and sea surface temperatures, etc.  We are a joint agency NOAA and NASA program, and our offices are located just off the NASA Goddard Space Flight Center campus.",Students will participate in meetings and discussions regarding the work on our current fleet of satellites known as the Joint Polar Satellite System (JPSS) and the planning and development for our future fleet of satellites know as the Near Earth Observation Network (NEON).,"7700 Hubble Dr,","Lanham, MD 20706",,No,,,Any weekday (Mon-Fri),Yes,,
60-minute virtual informational interviews,10,"Business, Government and International Relations, Communication, Social Science, Psychology",Montgomery County Government (Maryland),Senior Information Technology Specialist,www.montgomerycountymd.gov,"Montgomery County Government provides information and services to people who live, work, play, and learn in the county. We create websites to support this work.","We will explore websites and digital services, and elements of creating successful online experiences... with a non-technical lens. There are many important roles beyond writing code! We'll look at before-and-after content examples, consider what changed, and what results were achieved. We'll shape the session to explore the questions and interests you bring.","100 Maryland Ave, Suite 114","Rockville, MD 20850",,,,,"Tues,Fri",Yes,Yes,
60-minute virtual informational interviews,10,"Business,Consulting,Data Science and Data Analytics,Engineering,Government and International Relations,Museums and Library Services,NonProfit and Social Services,Science and Research, management",State Department,Program Support Specialist,https://www.state.gov/,Premier organization for the development and execution of U.S. Foreign Policy.,An offer to continue the conversation through virtual contact or via social media.,2201 E St NW,"Washington, D.C.",,,,,Fri,Yes,Yes,
60-minute virtual informational interviews,10,"Business,Government and International Relations,Law and Law Enforcement",Internal Revenue Service - Criminal Investigation,Special Agent,https://www.irs.gov/,"IRS-CI is the criminal investigation arm of the Internal Revenue Service tasked with investigating criminal violations of the Internal Revenue Code and related financial crimes. This is the lesser known section of the IRS to the public eye. IRS-CI has positions countrywide that allow a multitude of experiences from cryptocurrency to health care to drug cartels to come together under one roof for one common purpose. We are often tasked in multi agency cases to follow the money and take down criminals were other agencies may not be able to nail down violations otherwise. In addition to the law enforcement aspect, there are a number of support positions that actively assist on investigations or supporting the agents in their investigations by equipping them with the best and most current information. The Internal Revenue Service as a whole is a service to the people of the United States in many respects that go beyond just tax collection. As an example: We support financial crime victims, business and personal alike, as well as victims of identity theft. I often trip upon many programs I didn't know existed before, the IRS has many functions past what you may expect on a day to day basis (and how the media depicts the agency).","While I cannot share my current active casework due to the sensitivity of law enforcement information, I will be able to share recent past and public work of the agency as a whole. I can discuss the government jargon that can be difficult to navigate when applying for internships and jobs - including all inclusive job titles which can have many meanings and many functions within the government. I can point to resources that an interested student would need to captivate their experience in a government resume, which is much longer than the typical page requested in the private sector. This will allow me to touch on positions that the average college student would never know or hear about without speaking to someone on the inside. I can talk about my day to day experience as a government employee and all of the benefits that entails. As a past private sector contractor for the government, I can also touch on that experience and the transition to government employment.",150 Court Street,"New Haven, CT 06510",,,,,"Any weekday (Mon-Fri),Other:",Yes,Yes,
